Rxnorm	description
796539	Notuss DC
796541	codeine / pseudoephedrine Oral Solution [Notuss DC]
798756	Allfen CD
798758	codeine / guaifenesin Oral Tablet [Allfen CD]
798760	Allfen CDX
798762	codeine / guaifenesin Oral Tablet [Allfen CDX]
798910	Maxifed CD
798912	codeine / guaifenesin / pseudoephedrine Oral Tablet [Maxifed CD]
798939	Maxiphen CDX
798941	codeine / guaifenesin / phenylephrine Oral Tablet [Maxiphen CD
798954	Maxifed-G CD
798956	codeine / guaifenesin / pseudoephedrine Oral Tablet [Maxifed-G CD]
798977	codeine / guaifenesin / pseudoephedrine Oral Tablet [Ambifed-G
798981	codeine / guaifenesin / pseudoephedrine Oral Tablet [Ambifed C
798988	Cotab AX
798990	chlorpheniramine / codeine Oral Tablet [Cotab AX]
799002	acetaminophen / chlorpheniramine / codeine Oral Tablet [Cotabflu]
799004	Maxiphen CD
799044	Cotab A
799096	codeine / guaifenesin / phenylephrine Oral Tablet [Maxiphen CD]
799817	acetaminophen / oxycodone Oral Tablet [Primalev]
801798	chlorpheniramine / codeine Oral Tablet [Cotab A]
802546	codeine / dexchlorpheniramine / phenylephrine
802683	chlophedianol / guaifenesin / pseudoephedrine
802738	Nalex AC
802740	brompheniramine / codeine Oral Solution [Nalex AC]
802806	codeine / dexchlorpheniramine / phenylephrine Oral Solution [Vanacof]
802911	dyphylline 20 MG/ML / guaifenesin 20 MG/ML [Brondil]
802913	Brondil (Dyphylline 100 MG / Guaifenesin 100 MG) per 5 ML Oral Solution
804568	brompheniramine / codeine Oral Tablet
804572	brompheniramine / codeine Oral Tablet [BroveX CB]
804583	brompheniramine / codeine / phenylephrine Oral Tablet
804587	brompheniramine / codeine / phenylephrine Oral Tablet [Brovex
804747	Zamicet
804749	acetaminophen / hydrocodone Oral Solution [Zamicet]
804997	Nucotuss
804999	codeine / guaifenesin / pseudoephedrine Oral Solution [Nucotuss]
806505	codeine / diphenhydramine / phenylephrine Oral Solution
806509	codeine / diphenhydramine / phenylephrine Oral Solution [Endal CD]
806545	acetaminophen / dextromethorphan / guaifenesin Oral Tablet
806877	ASA 200 MG / butalbital 50 MG / Caffeine 40 MG / Codeine 30 MG Oral Capsule
808027	Atuss HD Extended Release
808029	chlorpheniramine / hydrocodone / pseudoephedrine Extended Release Oral Capsule [Atuss HD Extended Release]
808055	brompheniramine / hydrocodone / pseudoephedrine Oral Solution [M-End Reformulated Oct 2008]
808088	brompheniramine / hydrocodone / pseudoephedrine Oral Solution [M-End Liquid]
808497	Novahistine DH
808499	chlorpheniramine / dihydrocodeine / phenylephrine Oral Solution [Novahistine DH R
808737	carbetapentane / guaifenesin / phenylephrine Oral Tablet
809131	chlorpheniramine / guaifenesin / phenylephrine / phenylpropanolamine / pyrilamine Oral Tablet
812410	brompheniramine / dextromethorphan / guaifenesin
812737	albuterol / guaifenesin
814483	acetaminophen / chlorpheniramine / codeine / pseudoephedrine
814512	dexbrompheniramine / guaifenesin / pseudoephedrine
814657	acetaminophen / caffeine / codeine
815192	citric acid / dextromethorphan / guaifenesin / potassium citrate
815631	dextromethorphan / guaifenesin / sodium citrate
815641	dextromethorphan / guaifenesin / phenylpropanolamine / pyrilamine
815852	codeine / ephedrine
815866	diphenhydramine / guaifenesin
816111	ammonium chloride / guaifenesin
816433	dexbrompheniramine / dextromethorphan / guaifenesin / pseudoephedrine
816701	guaifenesin / noscapine
817377	acetaminophen / chlorpheniramine / guaifenesin / phenylpropanolamine
817379	acetaminophen / codeine / pseudoephedrine
817430	acetaminophen / caffeine / codeine / meprobamate
817497	guaifenesin / hydrocodone / pheniramine / phenylephrine / phenylpropanolamine
817555	dextromethorphan / guaifenesin / pyrilamine / sodium citrate
817579	acetaminophen / codeine
817612	brompheniramine / guaifenesin / hydrocodone
817953	guaifenesin / terbutaline
818014	guaifenesin / pyrilamine
818422	brompheniramine / codeine / pseudoephedrine
818485	chlorpheniramine / guaifenesin / phenylephrine / phenylpropanolamine / pyrilamine
818560	codeine / diphenhydramine
818689	carbinoxamine / guaifenesin / pseudoephedrine
818852	codeine / phenylephrine
818931	dextromethorphan / pseudoephedrine / triprolidine
819002	acetaminophen / diphenhydramine / guaifenesin / phenylephrine
819306	guaifenesin / hydrocodone / pheniramine / phenylpropanolamine / pyrilamine
819537	ephedrine / guaifenesin / noscapine
819684	guaifenesin / pseudoephedrine / theophylline
820044	brompheniramine / dextromethorphan / guaifenesin / phenylpropanolamine
820128	brompheniramine / guaifenesin / phenylpropanolamine
820369	guaifenesin / phenylpropanolamine / pseudoephedrine
823181	brompheniramine / codeine
823294	chlorpheniramine / dextromethorphan / guaifenesin
825193	chlorpheniramine maleate 0.8 MG/ML / codeine 2 MG/ML / pseudoephedrine hydrochlor
825195	acetaminophen / oxycodone Oral Tablet [Percocet]
825231	acetaminophen / oxycodone Oral Tablet [Endocet]
825243	acetaminophen / oxycodone Oral Tablet [Roxicet]
825251	acetaminophen / hydrocodone Oral Capsule [Zydone]
825252	acetaminophen 500 MG / hydrocodone bitartrate 5 MG Oral Capsule [Zydone]
825255	acetaminophen / hydrocodone Oral Tablet [Zydone]
825407	tapentadol 100 MG
825408	tapentadol Oral Tablet
825409	tapentadol 100 MG Oral Tablet
825410	tapentadol 50 MG
825411	tapentadol 50 MG Oral Tablet
825412	tapentadol 75 MG
825413	tapentadol 75 MG Oral Tablet
826813	carbetapentane / guaifenesin Oral Capsule
826814	carbetapentane citrate 8 MG / guaifenesin 200 MG Oral Capsule
826816	carbetapentane citrate 8 MG / guaifenesin 200 MG [Tusso ZMR]
826818	carbetapentane citrate 8 MG / guaifenesin 200 MG Oral Capsule [Tusso ZMR]
827756	acetaminophen / guaifenesin / phenylephrine Oral Solution
828314	chlorpheniramine / dihydrocodeine / phenylephrine Oral Solution [Despec PD]
828712	morphine sulfate 45 MG
828713	morphine sulfate 45 MG Extended Release Oral Capsule
828714	morphine sulfate 45 MG [Avinza]
828715	Avinza 45 MG Extended Release Oral Capsule
828716	morphine sulfate 75 MG
828717	morphine sulfate 75 MG Extended Release Oral Capsule
828718	morphine sulfate 75 MG [Avinza]
828719	Avinza 75 MG Extended Release Oral Capsule
829847	acetaminophen / hydrocodone Oral Tablet [Norco]
830195	opium tincture 100 MG/ML
830196	opium tincture 100 MG/ML Oral Solution
830613	dyphylline 200 MG / guaifenesin 400 MG [Difil G]
830614	Difil G (Dyphylline 200 MG / Guaifenesin 400 MG) Oral Tablet
830709	brompheniramine / codeine / phenylephrine Oral Solution [M-End
830763	chlophedianol / guaifenesin / pseudoephedrine Oral Tablet
831431	tramadol hydrochloride 100 MG
831433	Ryzolt
831434	tramadol hydrochloride 100 MG [Ryzolt]
831435	tramadol Extended Release Oral Tablet [Ryzolt]
831437	tramadol hydrochloride 200 MG
831439	tramadol hydrochloride 200 MG [Ryzolt]
831441	tramadol hydrochloride 300 MG
831443	tramadol hydrochloride 300 MG [Ryzolt]
831704	Hydone Formula Liquid
831706	guaiacolsulfonate / hydrocodone Oral Solution [Hydone Formula Liquid]
831710	chlorpheniramine / hydrocodone / phenylephrine Oral Solution [MINTUSS HC Reformul
831953	Mar-cof CG
832700	Xolox
832702	acetaminophen / oxycodone Oral Tablet [Xolox]
832714	codeine / guaifenesin Oral Solution [Mar-cof CG]
832866	codeine phosphate 2 MG/ML
832938	Relcof CPM
833035	hydrocodone bitartrate 7.5 MG
833036	acetaminophen 750 MG / hydrocodone bitartrate 7.5 MG Oral Tabl
833709	24 HR tramadol hydrochloride 100 MG Extended Release Oral Tabl
833710	24 HR Ryzolt 100 MG Extended Release Oral Tablet
833711	24 HR tramadol hydrochloride 200 MG Extended Release Oral Tabl
833712	24 HR Ryzolt 200 MG Extended Release Oral Tablet
833713	24 HR tramadol hydrochloride 300 MG Extended Release Oral Tabl
833714	24 HR Ryzolt 300 MG Extended Release Oral Tablet
834769	codeine / diphenhydramine / phenylephrine
835233	chlorpheniramine / hydrocodone / pseudoephedrine Oral Solution [JayCof-HC]
835602	tramadol hydrochloride 50 MG
835603	tramadol hydrochloride 50 MG Oral Tablet
835604	tramadol hydrochloride 50 MG [Ultram]
835605	tramadol hydrochloride 50 MG Oral Tablet [Ultram]
836394	tramadol hydrochloride 37.5 MG
836395	acetaminophen 325 MG / tramadol hydrochloride 37.5 MG Oral Tab
836396	acetaminophen 325 MG / tramadol hydrochloride 37.5 MG [Ultrace
836397	acetaminophen 325 MG / tramadol hydrochloride 37.5 MG Oral Tab
836398	tramadol hydrochloride 100 MG Extended Release Oral Tablet
836399	tramadol hydrochloride 100 MG [Ultram]
836400	tramadol hydrochloride 100 MG Extended Release Oral Tablet [Ultram]
836401	tramadol hydrochloride 200 MG Extended Release Oral Tablet
836402	tramadol hydrochloride 200 MG [Ultram]
836403	tramadol hydrochloride 200 MG Extended Release Oral Tablet [Ultram]
836404	tramadol hydrochloride 300 MG Extended Release Oral Tablet
836405	tramadol hydrochloride 300 MG [Ultram]
836406	tramadol hydrochloride 300 MG Extended Release Oral Tablet [Ultram]
836408	Product containing precisely tramadol hydrochloride 50 milligram/1 each conventio
836409	tramadol hydrochloride 50 MG Disintegrating Oral Tablet [Ultram]
836466	Product containing precisely tramadol hydrochloride 50 milligram/1 each conventio
836467	tramadol hydrochloride 50 MG [Tramalgin]
836468	tramadol hydrochloride 50 MG Oral Capsule [Tramalgin]
836484	tramadol hydrochloride 1 MG/ML
836485	Product containing precisely tramadol hydrochloride 1 milligram/1 milliliter conv
836486	tramadol hydrochloride 100 MG Extended Release Oral Capsule
836487	tramadol hydrochloride 150 MG
836488	tramadol hydrochloride 150 MG Extended Release Oral Capsule
836489	tramadol hydrochloride 150 MG Extended Release Oral Tablet
836490	tramadol hydrochloride 200 MG Extended Release Oral Capsule
836491	tramadol hydrochloride 400 MG
836492	Product containing precisely tramadol hydrochloride 400 milligram/1 each prolonge
836629	codeine / pseudoephedrine / triprolidine Oral Solution [Pseudodine C]
844445	morphine sulfate 10 MG Extended Release Oral Capsule [Zomorph]
844446	morphine sulfate 30 MG Extended Release Oral Capsule [Zomorph]
844447	morphine sulfate 60 MG Extended Release Oral Capsule [Zomorph]
844448	morphine sulfate 100 MG Extended Release Oral Capsule [Zomorph]
844449	morphine sulfate 200 MG Extended Release Oral Capsule [Zomorph]
845211	Ryzolt 100 MG Extended Release Oral Tablet
845212	Ryzolt 200 MG Extended Release Oral Tablet
845213	Ryzolt 300 MG Extended Release Oral Tablet
845314	24 HR tramadol hydrochloride 100 MG Extended Release Oral Tablet [Ultram]
845315	24 HR tramadol hydrochloride 200 MG Extended Release Oral Tabl
845316	24 HR tramadol hydrochloride 300 MG Extended Release Oral Tabl
846362	fentanyl / sodium chloride Injectable Solution
846363	Fentanyl 0.004 MG/ML / NaCl 0.154 MEQ/ML Injectable Solution
846365	fentanyl / ropivacaine / sodium chloride Injectable Solution
846984	acetaminophen / oxycodone Oral Tablet [Magnacet]
847127	fentanyl 0.002 MG/ML / ropivacaine 0.8 MG/ML Injectable Solution
848189	chlorpheniramine / dihydrocodeine / phenylephrine / phenylpropanolamine Oral Solution [Vanex]
848763	Endodan Reformulated May 2009
848765	aspirin / oxycodone Oral Tablet [Endodan Reformulated May 2009]
848767	oxycodone hydrochloride 4.84 MG
848768	aspirin 325 MG / oxycodone hydrochloride 4.84 MG Oral Tablet
848769	Percodan Reformulated May 2009
848770	aspirin 325 MG / oxycodone hydrochloride 4.84 MG [Percodan Reformulated May 2009]
848771	aspirin / oxycodone Oral Tablet [Percodan Reformulated May 2009]
848772	ASA 325 MG / Oxycodone Hydrochloride 4.84 MG Oral Tablet [Percodan Reformulated M
848927	aspirin 325 MG / oxycodone hydrochloride 4.84 MG [Endodan Reformulated May 2009]
848928	ASA 325 MG / Oxycodone Hydrochloride 4.84 MG Oral Tablet [Endodan Reformulated Ma
848936	chlorpheniramine / dihydrocodeine / phenylephrine Oral Solutio
848939	guaifenesin / hydrocodone / pseudoephedrine Oral Solution [Coldcough XP]
849070	guaifenesin 400 MG Oral Tablet [Humibid e]
849328	tramadol hydrochloride 50 MG/ML
849329	Product containing precisely tramadol hydrochloride 50 milligram/1 milliliter con
849330	tramadol hydrochloride 75 MG
849331	Product containing precisely tramadol hydrochloride 75 milligram/1 each prolonged
849561	12 HR tramadol hydrochloride 150 MG Extended Release Oral Tablet
849562	12 HR tramadol hydrochloride 200 MG Extended Release Oral Tablet
849563	24 HR tramadol hydrochloride 150 MG Extended Release Oral Tablet
849564	24 HR tramadol hydrochloride 400 MG Extended Release Oral Tablet
849567	tramadol hydrochloride 100 MG Rectal Suppository
849568	tramadol hydrochloride 100 MG/ML
849569	tramadol hydrochloride 100 MG/ML Oral Solution
849903	Product containing precisely tramadol hydrochloride 50 milligram/1 each prolonged
851961	Cocet
852035	acetaminophen / codeine Oral Tablet [Codrix]
853068	opium Injectable Solution
854137	Nucynta
854138	tapentadol 100 MG [Nucynta]
854139	tapentadol Oral Tablet [Nucynta]
854140	tapentadol 100 MG Oral Tablet [Nucynta]
854141	tapentadol 50 MG [Nucynta]
854142	tapentadol 50 MG Oral Tablet [Nucynta]
854143	tapentadol 75 MG [Nucynta]
854144	tapentadol 75 MG Oral Tablet [Nucynta]
856452	Notuss PE
856454	codeine / phenylephrine Oral Solution [Notuss PE]
856891	hydrocodone bitartrate 10 MG
856892	acetaminophen 750 MG / hydrocodone bitartrate 10 MG Oral Tablet
856893	acetaminophen 750 MG / hydrocodone bitartrate 10 MG [Maxidone]
856894	acetaminophen 750 MG / hydrocodone bitartrate 10 MG Oral Tablet [Maxidone]
856896	acetaminophen 750 MG / hydrocodone bitartrate 7.5 MG [Vicodin]
856898	acetaminophen 750 MG / hydrocodone bitartrate 7.5 MG Oral Tablet [Vicodin]
856902	hydrocodone bitartrate 5 MG
856903	acetaminophen 500 MG / hydrocodone bitartrate 5 MG Oral Tablet
856905	acetaminophen 500 MG / hydrocodone bitartrate 5 MG [Vicodin]
856906	acetaminophen / hydrocodone Oral Tablet [Vicodin]
856907	acetaminophen 500 MG / hydrocodone bitartrate 5 MG Oral Tablet [Vicodin]
856908	acetaminophen 660 MG / hydrocodone bitartrate 10 MG Oral Table
856910	acetaminophen 660 MG / hydrocodone bitartrate 10 MG [Vicodin]
856912	acetaminophen 660 MG / hydrocodone bitartrate 10 MG Oral Tablet [Vicodin]
856914	hydrocodone bitartrate 1 MG/ML
856915	guaifenesin 100 MG / hydrocodone bitartrate 5 MG per 5 ML Oral Solution
856916	guaifenesin 20 MG/ML / hydrocodone bitartrate 1 MG/ML [Vicodin Tuss]
856917	guaifenesin 20 MG/ML / hydrocodone bitartrate 1 MG/ML Oral Solution [Vicodin Tuss
856939	hydrocodone bitartrate 0.5 MG/ML
856940	acetaminophen 21.7 MG/ML / hydrocodone bitartrate 0.5 MG/ML Or
856941	acetaminophen 21.7 MG/ML / hydrocodone bitartrate 0.5 MG/ML [H
856942	acetaminophen 21.7 MG/ML / hydrocodone bitartrate 0.5 MG/ML Or
856943	hydrocodone bitartrate 0.67 MG/ML
856944	acetaminophen 21.7 MG/ML / hydrocodone bitartrate 0.67 MG/ML O
856945	acetaminophen 21.7 MG/ML / hydrocodone bitartrate 0.67 MG/ML [
856946	acetaminophen 21.7 MG/ML / hydrocodone bitartrate 0.67 MG/ML O
856953	acetaminophen 250 MG / caffeine 30 MG / chlorpheniramine maleate 2 MG / hydrocodo
856955	acetaminophen 250 MG / caffeine 30 MG / chlorpheniramine maleate 2 MG / hydrocodo
856962	acetaminophen 500 MG / hydrocodone bitartrate 5 MG Oral Capsul
856964	acetaminophen 500 MG / hydrocodone bitartrate 5 MG [Stagesic]
856965	acetaminophen / hydrocodone Oral Capsule [Stagesic]
856966	acetaminophen 500 MG / hydrocodone bitartrate 5 MG Oral Capsule [Stagesic]
856967	acetaminophen 250 MG / hydrocodone bitartrate 10 MG Oral Tablet
856969	acetaminophen 250 MG / hydrocodone bitartrate 10 MG [Stagesic]
856970	acetaminophen / hydrocodone Oral Tablet [Stagesic]
856971	acetaminophen 250 MG / hydrocodone bitartrate 10 MG Oral Tablet [Stagesic]
856980	acetaminophen 300 MG / hydrocodone bitartrate 10 MG Oral Table
856982	acetaminophen 300 MG / hydrocodone bitartrate 10 MG [Xodol]
856984	acetaminophen 300 MG / hydrocodone bitartrate 10 MG Oral Tablet [Xodol]
856987	acetaminophen 300 MG / hydrocodone bitartrate 5 MG Oral Tablet
856989	acetaminophen 300 MG / hydrocodone bitartrate 5 MG [Xodol]
856991	acetaminophen 300 MG / hydrocodone bitartrate 5 MG Oral Tablet [Xodol]
856992	acetaminophen 300 MG / hydrocodone bitartrate 7.5 MG Oral Tabl
856994	acetaminophen 300 MG / hydrocodone bitartrate 7.5 MG [Xodol]
856996	acetaminophen 300 MG / hydrocodone bitartrate 7.5 MG Oral Tablet [Xodol]
856999	acetaminophen 325 MG / hydrocodone bitartrate 10 MG Oral Table
857000	acetaminophen 325 MG / hydrocodone bitartrate 10 MG [Norco]
857001	acetaminophen 325 MG / hydrocodone bitartrate 10 MG Oral Table
857002	acetaminophen 325 MG / hydrocodone bitartrate 5 MG Oral Tablet
857003	acetaminophen 325 MG / hydrocodone bitartrate 5 MG [Norco]
857004	acetaminophen 325 MG / hydrocodone bitartrate 5 MG Oral Tablet
857005	acetaminophen 325 MG / hydrocodone bitartrate 7.5 MG Oral Tabl
857006	acetaminophen 325 MG / hydrocodone bitartrate 7.5 MG [Norco]
857007	acetaminophen 325 MG / hydrocodone bitartrate 7.5 MG Oral Tabl
857009	acetaminophen 325 MG / hydrocodone bitartrate 5 MG [Anexsia]
857011	acetaminophen 325 MG / hydrocodone bitartrate 5 MG Oral Tablet [Anexsia]
857020	acetaminophen 325 MG / hydrocodone bitartrate 7.5 MG [Anexsia]
857021	acetaminophen / hydrocodone Oral Tablet [Anexsia]
857022	acetaminophen 325 MG / hydrocodone bitartrate 7.5 MG Oral Tablet [Anexsia]
857075	hydrocodone bitartrate 0.333 MG/ML
857076	acetaminophen 33.3 MG/ML / hydrocodone bitartrate 0.333 MG/ML
857077	acetaminophen 33.3 MG/ML / hydrocodone bitartrate 0.333 MG/ML [Anexsia]
857078	acetaminophen 33.3 MG/ML / hydrocodone bitartrate 0.333 MG/ML Oral Solution [Anex
857080	acetaminophen 500 MG / hydrocodone bitartrate 5 MG [Anexsia]
857082	acetaminophen 500 MG / hydrocodone bitartrate 5 MG Oral Tablet [Anexsia]
857083	acetaminophen 650 MG / hydrocodone bitartrate 7.5 MG Oral Tabl
857085	acetaminophen 650 MG / hydrocodone bitartrate 7.5 MG [Anexsia]
857087	acetaminophen 650 MG / hydrocodone bitartrate 7.5 MG Oral Tablet [Anexsia]
857089	acetaminophen 660 MG / hydrocodone bitartrate 10 MG [Anexsia]
857091	acetaminophen 660 MG / hydrocodone bitartrate 10 MG Oral Tablet [Anexsia]
857092	acetaminophen 325 MG / hydrocodone bitartrate 5 MG [Procet]
857093	acetaminophen / hydrocodone Oral Tablet [Procet]
857094	acetaminophen 325 MG / hydrocodone bitartrate 5 MG Oral Tablet [Procet]
857096	acetaminophen 325 MG / hydrocodone bitartrate 7.5 MG [Procet]
857098	acetaminophen 325 MG / hydrocodone bitartrate 7.5 MG Oral Tablet [Procet]
857099	acetaminophen 33.3 MG/ML / hydrocodone bitartrate 0.5 MG/ML Or
857103	acetaminophen 33.3 MG/ML / hydrocodone bitartrate 0.5 MG/ML [Lortab]
857104	acetaminophen / hydrocodone Oral Solution [Lortab]
857105	acetaminophen 33.3 MG/ML / hydrocodone bitartrate 0.5 MG/ML Oral Solution [Lortab
857107	acetaminophen 500 MG / hydrocodone bitartrate 10 MG Oral Table
857108	acetaminophen 500 MG / hydrocodone bitartrate 10 MG [Lortab]
857109	acetaminophen 500 MG / hydrocodone bitartrate 10 MG Oral Tablet [Lortab]
857110	hydrocodone bitartrate 2.5 MG
857111	acetaminophen 500 MG / hydrocodone bitartrate 2.5 MG Oral Tabl
857112	acetaminophen 500 MG / hydrocodone bitartrate 2.5 MG [Lortab]
857113	acetaminophen 500 MG / hydrocodone bitartrate 2.5 MG Oral Tablet [Lortab]
857116	acetaminophen 500 MG / hydrocodone bitartrate 5 MG [Lortab]
857117	acetaminophen 500 MG / hydrocodone bitartrate 5 MG Oral Tablet [Lortab]
857118	acetaminophen 500 MG / hydrocodone bitartrate 7.5 MG Oral Tabl
857119	acetaminophen 500 MG / hydrocodone bitartrate 7.5 MG [Lortab]
857120	acetaminophen 500 MG / hydrocodone bitartrate 7.5 MG Oral Tablet [Lortab]
857121	aspirin 500 MG / hydrocodone bitartrate 5 MG Oral Tablet
857122	aspirin 500 MG / hydrocodone bitartrate 5 MG [Lortab ASA]
857123	ASA 500 MG / Hydrocodone Bitartrate 5 MG Oral Tablet [Lortab ASA]
857124	hydrocodone bitartrate 0.667 MG/ML
857125	acetaminophen 33.3 MG/ML / hydrocodone bitartrate 0.667 MG/ML Oral Solution
857126	acetaminophen 33.3 MG/ML / hydrocodone bitartrate 0.667 MG/ML [Liquicet]
857127	acetaminophen 33.3 MG/ML / hydrocodone bitartrate 0.667 MG/ML Oral Solution [Liqu
857128	acetaminophen 400 MG / hydrocodone bitartrate 10 MG Oral Table
857129	acetaminophen 400 MG / hydrocodone bitartrate 10 MG [Zydone]
857130	acetaminophen 400 MG / hydrocodone bitartrate 10 MG Oral Tablet [Zydone]
857131	acetaminophen 400 MG / hydrocodone bitartrate 5 MG Oral Tablet
857132	acetaminophen 400 MG / hydrocodone bitartrate 5 MG [Zydone]
857133	acetaminophen 400 MG / hydrocodone bitartrate 5 MG Oral Tablet [Zydone]
857134	acetaminophen 400 MG / hydrocodone bitartrate 7.5 MG Oral Tabl
857135	acetaminophen 400 MG / hydrocodone bitartrate 7.5 MG [Zydone]
857136	acetaminophen 400 MG / hydrocodone bitartrate 7.5 MG Oral Tablet [Zydone]
857150	acetaminophen 500 MG / hydrocodone bitartrate 5 MG [Allay]
857151	acetaminophen 500 MG / hydrocodone bitartrate 5 MG Oral Capsule [Allay]
857152	acetaminophen 500 MG / hydrocodone bitartrate 5 MG [Anolor DH5]
857153	acetaminophen 500 MG / hydrocodone bitartrate 5 MG Oral Capsule [Anolor DH5]
857154	acetaminophen 500 MG / hydrocodone bitartrate 5 MG [Bancap HC]
857155	acetaminophen 500 MG / hydrocodone bitartrate 5 MG Oral Capsule [Bancap HC]
857156	acetaminophen 500 MG / hydrocodone bitartrate 5 MG [Ceta Plus]
857157	acetaminophen 500 MG / hydrocodone bitartrate 5 MG Oral Capsule [Ceta Plus]
857158	acetaminophen 500 MG / hydrocodone bitartrate 5 MG [Dolacet]
857159	acetaminophen 500 MG / hydrocodone bitartrate 5 MG Oral Capsule [Dolacet]
857161	acetaminophen 500 MG / hydrocodone bitartrate 5 MG [Dolagesic]
857162	acetaminophen 500 MG / hydrocodone bitartrate 5 MG Oral Capsule [Dolagesic]
857163	acetaminophen 500 MG / hydrocodone bitartrate 5 MG [Dolorex Forte]
857164	acetaminophen 500 MG / hydrocodone bitartrate 5 MG Oral Capsule [Dolorex Forte]
857190	Dolorex Solution
857192	butorphanol Injectable Solution [Dolorex Solution]
857235	pentazocine 30 MG/ML [Talwin]
857236	pentazocine Injectable Solution [Talwin]
857237	pentazocine 30 MG/ML Injectable Solution [Talwin]
857293	acetaminophen 500 MG / hydrocodone bitartrate 5 MG [Hyco-pap]
857294	acetaminophen 500 MG / hydrocodone bitartrate 5 MG Oral Capsule [Hyco-pap]
857310	acetaminophen 500 MG / hydrocodone bitartrate 5 MG [Hycomed]
857311	acetaminophen 500 MG / hydrocodone bitartrate 5 MG Oral Capsule [Hycomed]
857313	acetaminophen 500 MG / hydrocodone bitartrate 5 MG [Hydrocet]
857314	acetaminophen 500 MG / hydrocodone bitartrate 5 MG Oral Capsule [Hydrocet]
857316	acetaminophen 500 MG / hydrocodone bitartrate 5 MG [Hydrogesic]
857317	acetaminophen 500 MG / hydrocodone bitartrate 5 MG Oral Capsule [Hydrogesic]
857318	acetaminophen 500 MG / hydrocodone bitartrate 5 MG [Margesic-H]
857319	acetaminophen 500 MG / hydrocodone bitartrate 5 MG Oral Capsule [Margesic-H]
857333	acetaminophen 500 MG / hydrocodone bitartrate 5 MG [Medipain 5]
857334	acetaminophen 500 MG / hydrocodone bitartrate 5 MG Oral Capsule [Medipain 5]
857345	acetaminophen 500 MG / hydrocodone bitartrate 5 MG [Oncet]
857346	acetaminophen 500 MG / hydrocodone bitartrate 5 MG Oral Capsule [Oncet]
857347	acetaminophen 500 MG / hydrocodone bitartrate 5 MG [Panlor]
857348	acetaminophen 500 MG / hydrocodone bitartrate 5 MG Oral Capsule [Panlor]
857349	acetaminophen 500 MG / hydrocodone bitartrate 5 MG [Polygesic]
857350	acetaminophen 500 MG / hydrocodone bitartrate 5 MG Oral Capsule [Polygesic]
857351	acetaminophen 500 MG / hydrocodone bitartrate 5 MG [T-Gesic]
857352	acetaminophen 500 MG / hydrocodone bitartrate 5 MG Oral Capsule [T-Gesic]
857353	acetaminophen 500 MG / hydrocodone bitartrate 5 MG [Ugesic]
857354	acetaminophen 500 MG / hydrocodone bitartrate 5 MG Oral Capsule [Ugesic]
857355	acetaminophen 500 MG / hydrocodone bitartrate 5 MG [Vendone]
857356	acetaminophen 500 MG / hydrocodone bitartrate 5 MG Oral Capsule [Vendone]
857357	acetaminophen 500 MG / hydrocodone bitartrate 5 MG [Co-Gesic]
857360	acetaminophen 500 MG / hydrocodone bitartrate 5 MG Oral Tablet [Co-Gesic]
857361	{1 (acetaminophen 500 MG / hydrocodone bitartrate 5 MG Oral Capsule) } Pack
857363	acetaminophen 500 MG / hydrocodone bitartrate 5 MG [DuoCet]
857364	acetaminophen 500 MG / hydrocodone bitartrate 5 MG Oral Tablet [DuoCet]
857369	acetaminophen 500 MG / hydrocodone bitartrate 5 MG [Hy-Phen]
857370	acetaminophen 500 MG / hydrocodone bitartrate 5 MG Oral Tablet [Hy-Phen]
857372	acetaminophen 500 MG / hydrocodone bitartrate 5 MG [Panacet]
857373	acetaminophen 500 MG / hydrocodone bitartrate 5 MG Oral Tablet [Panacet]
857376	acetaminophen 500 MG / hydrocodone bitartrate 5 MG [Vanacet]
857377	acetaminophen 500 MG / hydrocodone bitartrate 5 MG Oral Tablet [Vanacet]
857378	acetaminophen 500 MG / hydrocodone bitartrate 5 MG [Vidone]
857379	acetaminophen 500 MG / hydrocodone bitartrate 5 MG Oral Tablet [Vidone]
857380	acetaminophen 500 MG / hydrocodone bitartrate 5 MG [Lorcet]
857381	acetaminophen 500 MG / hydrocodone bitartrate 5 MG Oral Capsule [Lorcet]
857383	acetaminophen 650 MG / hydrocodone bitartrate 10 MG Oral Table
857384	acetaminophen 650 MG / hydrocodone bitartrate 10 MG [Lorcet]
857385	acetaminophen 650 MG / hydrocodone bitartrate 10 MG Oral Tablet [Lorcet]
857386	acetaminophen 650 MG / hydrocodone bitartrate 7.5 MG [Lorcet]
857387	acetaminophen 650 MG / hydrocodone bitartrate 7.5 MG Oral Tablet [Lorcet]
857388	acetaminophen 100 MG/ML / hydrocodone bitartrate 1 MG/ML Elixir
857389	acetaminophen 150 MG / aspirin 230 MG / caffeine 30 MG / hydrocodone bitartrate 5
857390	acetaminophen 24 MG/ML / hydrocodone bitartrate 0.5 MG/ML Elixir
857391	acetaminophen 325 MG / hydrocodone bitartrate 2.5 MG Oral Tabl
857492	tapentadol (as hydrochloride)
857501	acetaminophen 556 MG / hydrocodone bitartrate 5 MG Oral Tablet
857508	acetaminophen 325 MG / butalbital 30 MG / caffeine 40 MG / hydrocodone bitartrate
857509	acetaminophen 325 MG / butalbital 50 MG / caffeine 40 MG / hydrocodone bitartrate
857510	12 HR chlorpheniramine polistirex 4 MG / hydrocodone polistirex 5 MG Extended Rel
